Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount
Withdrawal,WITHDRAWAL,2024-07-09T01:09:27.431Z,GBP,164.24,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,ORDER,2024-07-04T13:45:48.179Z,GBP,164.24,SELL,VUAG,IE00BFMXXD54,82.12000000,0.00,2.00000000,AQST,BNOOE28MBXDN,MARKET,GBP,164.24,82.12000000,,,0,,,,,,,,,
June Statement,MONTHLY_STATEMENT,2024-07-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
May Statement,MONTHLY_STATEMENT,2024-06-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
April Statement,MONTHLY_STATEMENT,2024-05-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
March Statement,MONTHLY_STATEMENT,2024-04-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
February Statement,MONTHLY_STATEMENT,2024-03-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
January Statement,MONTHLY_STATEMENT,2024-02-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
December Statement,MONTHLY_STATEMENT,2024-01-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
November Statement,MONTHLY_STATEMENT,2023-12-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
October Statement,MONTHLY_STATEMENT,2023-11-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
September Statement,MONTHLY_STATEMENT,2023-10-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Withdrawal,WITHDRAWAL,2023-09-26T03:27:14.412Z,GBP,67.29,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,ORDER,2023-09-18T10:29:00.427Z,GBP,67.29,SELL,VUAG,IE00BFMXXD54,67.29000000,0.00,1.00000000,AQST,NLPFJ0JONH6J,MARKET,GBP,67.29,67.29000000,,,0,,,,,,,,,
Withdrawal,WITHDRAWAL,2023-09-08T04:09:52.210Z,GBP,261.54,,,,,,,,,,,,,,,,,,,,,,,,
Apple,ORDER,2023-09-05T14:16:05.401Z,GBP,59.41,SELL,AAPL,US0378331005,150.00000000,0.00,0.40000000,Drivewealth,J0WVWC73CIDG,BASIC,USD,75.31,188.28000000,1.26749519,1.25507000,99,0.59,,,,,,,,
S&P 500,ORDER,2023-09-04T09:14:06.641Z,GBP,201.15,SELL,VUAG,IE00BFMXXD54,67.05000000,0.00,3.00000000,AQST,RD7N3Q1LKDGI,BASIC,GBP,201.15,67.05000000,,,0,,,,,,,,,
August Statement,MONTHLY_STATEMENT,2023-09-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,DIVIDEND,2023-08-17T17:26:00.000Z,GBP,0.06,,AAPL,US0378331005,,,0.40886373,,,,USD,,,,0.78448600,0,0.00,2023-08-11,2023-08-17,0.40886373,0.24000000,0.10,0.08,15,0.01
Apple,ORDER,2023-08-04T14:05:59.025Z,GBP,10.98,BUY,AAPL,US0378331005,144.72697197,0.00,0.07510694,Drivewealth,JMFV80N7HCKL,MARKET,USD,13.87,184.67000000,1.26293197,1.27556001,99,0.11,,,,,,,,
S&P 500,ORDER,2023-08-04T14:04:19.610Z,GBP,198.18,BUY,VUAG,IE00BFMXXD54,66.06000000,0.00,3.00000000,AQST,G2CB73GMB242,MARKET,GBP,198.18,66.06000000,,,0,,,,,,,,,
Top up,TOP_UP,2023-08-04T07:38:07.065Z,GBP,200.00,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2023-08-04T07:36:43.102Z,GBP,10.00,,,,,,,,,,,,,,,,,,,,,,,,
July Statement,MONTHLY_STATEMENT,2023-08-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,ORDER,2023-07-27T14:04:03.207Z,GBP,51.64,BUY,AAPL,US0378331005,153.19538518,0.00,0.33375679,Drivewealth,XAFA6QYLVMUI,BASIC,USD,65.68,196.79000000,1.27175375,1.28447000,99,0.51,,,,,,,,
S&P 500,ORDER,2023-07-27T07:17:17.936Z,GBP,198.28,BUY,VUAG,IE00BFMXXD54,66.09333333,0.00,3.00000000,AQST,Y2P9A548V6LS,MARKET,GBP,198.28,66.09333333,,,0,,,,,,,,,
Top up,TOP_UP,2023-07-26T20:08:26.414Z,GBP,240.00,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2023-07-26T20:06:33.265Z,GBP,10.00,,,,,,,,,,,,,,,,,,,,,,,,
